year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2003.02950,80.02000,,,
2003.02990,,80.76000,,
2003.05730,,-14.63000,,
2003.05760,-19.57000,,,
2003.08450,,-8.57000,,
2003.08490,-9.93000,,,
2003.11180,,-4.63000,,
2003.11230,-13.15000,,,
2003.13890,,-34.47000,,
2003.13950,-32.39000,,,
2003.16600,,-32.66000,,
2003.16640,-10.51000,,,
2003.19360,-16.27000,-27.84000,,
2003.22040,-51.46000,,,
2003.22050,,-57.38000,,
2003.24790,-30.41000,,,
2003.24800,,-32.74000,,
2003.27500,4.53000,,,
2003.27910,,6.63000,,
2003.30170,,-18.74000,,
2003.30200,-11.24000,,,
2003.32850,,5.92000,,
2003.32900,6.03000,,,
2003.35620,,-16.73000,,
2003.35630,-6.15000,,,
2003.38320,,-29.87000,,
2003.38400,-20.62000,,,
2003.41010,,0.52000,,
2003.41060,-5.89000,,,
2003.43770,,-13.95000,,
2003.43800,-13.69000,,,
2003.46490,,-12.84000,,
2003.46540,-1.63000,,,
2003.49170,40.03000,,,
2003.49180,,18.85000,,
2003.51870,,11.97000,,
2003.51940,23.41000,,,
2003.54580,,1.78000,,
2003.54640,9.72000,,,
2003.57340,,1.77000,,
2003.57360,-0.78000,,,
2003.60050,,-3.45000,,
2003.60080,3.88000,,,
2003.62780,13.36000,8.88000,,
2003.65470,,9.95000,,
2003.65500,21.34000,,,
2003.68170,,13.72000,,
2003.68220,16.46000,,,
2003.70860,,-6.32000,,
2003.70910,-15.55000,,,
2003.73630,-23.37000,-19.47000,,
2003.76340,,16.93000,,
2003.76390,17.80000,,,
2003.79060,,-17.76000,,
2003.79120,-13.01000,,,
2003.81800,,28.65000,,
2003.81880,42.20000,,,
2003.84470,,80.23000,,
2003.84490,88.89000,,,
2003.87020,,-0.33000,,
2003.87200,-16.34000,,,
2003.89860,-74.87000,,,
2003.91100,,-25.33000,,
2003.92580,22.93000,,,
2003.92610,,29.46000,,
2003.95350,13.18000,2.40000,,
2003.98060,-6.83000,,,
2003.98080,,-5.75000,,
2004.00660,13.85000,,,
2004.00740,,17.89000,,
2004.03460,,15.88000,,
2004.03530,5.22000,,,
2004.06180,,3.17000,,
2004.06220,-0.65000,,,
2004.08880,,60.53000,,
2004.08940,44.99000,,,
2004.11270,,-26.11000,,
2004.11640,-22.71000,,,
2004.14360,19.92000,,,
2004.14810,,26.89000,,
2004.17060,,83.93000,,
2004.17100,87.24000,,,
2004.19720,28.42000,,,
2004.19740,,33.96000,,
2004.22530,,-62.10000,,
2004.22580,-68.23000,,,
2004.25040,,0.49000,,
2004.25300,13.03000,,,
2004.27910,,-5.07000,,
2004.27960,9.44000,,,
2004.30620,,-21.53000,,
2004.30650,-14.21000,,,
2004.33360,,25.58000,,
2004.33390,39.26000,,,
2004.36040,,71.31000,,
2004.36110,71.43000,,,
2004.38760,-3.49000,,,
2004.38780,,0.51000,,
2004.41520,,-5.70000,,
2004.44180,,-1.87000,,
2004.46920,,-7.79000,,
2004.47280,24.01000,,,
2004.49670,,17.73000,,
2004.49770,26.13000,,,
2004.52270,-11.31000,,,
2004.52350,,-24.73000,,
2004.54920,-26.62000,,,
2004.55070,,-25.07000,,
2004.57610,-2.61000,,,
2004.57780,,6.91000,,
2004.60480,,27.16000,,
2004.60700,29.30000,,,
2004.63200,,47.92000,,
2004.63270,49.71000,,,
2004.65890,,7.94000,,
2004.65960,0.00000,,,
2004.68630,,8.20000,,
2004.68670,6.75000,,,
2004.71360,,-8.43000,,
2004.71390,-11.18000,,,
2004.74050,,39.97000,,
2004.74140,36.03000,,,
2004.76800,26.16000,,,
2004.76860,,22.62000,,
2004.79410,,32.32000,,
2004.79650,28.71000,,,
2004.82200,22.80000,,,
2004.82280,,26.85000,,
2004.84960,,34.89000,,
2004.84970,19.47000,,,
2004.87630,,21.64000,,
2004.87640,8.84000,,,
2004.90340,,-39.99000,,
2004.90390,-55.09000,,,
2004.93060,-19.12000,,,
2004.93070,,2.21000,,
2004.95360,-68.87000,,,
2004.95790,,-63.69000,,
2004.98480,,-24.84000,,
2004.98490,-39.33000,,,
2005.01200,-30.01000,-8.65000,,
2005.03990,,-61.79000,,
2005.04000,-86.71000,,,
2005.06640,,12.07000,,
2005.06680,13.42000,,,
2005.09340,,60.91000,,
2005.09350,59.46000,,,
2005.12060,,-86.45000,,
2005.12090,-72.19000,,,
2005.14790,,-12.26000,,
2005.14800,-15.86000,,,
2005.17460,20.05000,,,
2005.17500,,43.21000,,
2005.20200,,18.66000,,
2005.20280,15.29000,,,
2005.22960,,11.82000,,
2005.23030,15.15000,,,
2005.25650,,33.08000,,
2005.25660,49.56000,,,
2005.28300,,-4.11000,,
2005.28390,4.76000,,,
2005.30920,25.76000,,,
2005.31020,,20.86000,,
2005.33860,,5.93000,,
2005.33960,5.08000,,,
2005.36530,,30.78000,,
2005.36560,30.57000,,,
2005.39170,,-13.55000,,
2005.39250,-3.78000,,,
2005.41970,,-12.67000,,
2005.41980,-7.36000,,,
2005.44660,,17.21000,,
2005.44680,22.58000,,,
2005.47280,46.71000,,,
2005.47370,,45.00000,,
2005.50060,-0.70000,,,
2005.50100,,8.48000,,
2005.52790,,8.28000,,
2005.52850,5.87000,,,
2005.55500,,2.98000,,
2005.55530,3.88000,,,
